,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
S1,160 ,6 ,8 ,100 ,135 ,8 ,2 ,8 ,992 ,11 ,69 ,136 ,47 ,8 ,159 ,173 ,8 ,8 
S2,0 ,9 ,0 ,212 ,1 ,0 ,195 ,0 ,839 ,89 ,218 ,69 ,141 ,0 ,1 ,133 ,1 ,0 
S3,0 ,180 ,0 ,183 ,2 ,0 ,9 ,0 ,40 ,4 ,188 ,3 ,142 ,0 ,0 ,114 ,0 ,2 
S4,2 ,180 ,0 ,183 ,0 ,0 ,168 ,0 ,838 ,76 ,219 ,3 ,166 ,0 ,0 ,132 ,0 ,2 
S5,16 ,20 ,16 ,478 ,297 ,295 ,535 ,295 ,30 ,260 ,478 ,17 ,477 ,295 ,344 ,311 ,346 ,16 
S6,159 ,28 ,8 ,237 ,157 ,8 ,9 ,135 ,830 ,206 ,202 ,89 ,98 ,8 ,158 ,78 ,8 ,8 
S7,0 ,154 ,1 ,183 ,0 ,0 ,196 ,1 ,719 ,4 ,219 ,59 ,142 ,1 ,1 ,6 ,2 ,0 
S8,2 ,227 ,48 ,220 ,41 ,48 ,215 ,41 ,805 ,47 ,204 ,6 ,10 ,48 ,41 ,8 ,2 ,2 
S9,0 ,181 ,0 ,214 ,2 ,0 ,9 ,1 ,718 ,88 ,188 ,70 ,143 ,0 ,0 ,133 ,2 ,0 
S10,76 ,255 ,66 ,224 ,66 ,4 ,194 ,66 ,38 ,47 ,12 ,147 ,224 ,66 ,77 ,10 ,77 ,4 
S11,1350 ,1031 ,1349 ,1179 ,1348 ,64 ,56 ,1156 ,104 ,1433 ,1146 ,62 ,1184 ,1156 ,1156 ,63 ,64 ,1158 
S12,1 ,9 ,0 ,10 ,3 ,0 ,9 ,2 ,717 ,4 ,220 ,3 ,8 ,1 ,1 ,133 ,0 ,1 
S13,314 ,181 ,269 ,10 ,312 ,313 ,164 ,15 ,1151 ,343 ,131 ,266 ,147 ,269 ,269 ,297 ,268 ,15 
S14,6 ,7 ,6 ,89 ,6 ,121 ,76 ,6 ,948 ,9 ,5 ,5 ,78 ,121 ,6 ,9 ,6 ,6 
S15,654 ,44 ,764 ,44 ,656 ,764 ,800 ,36 ,100 ,32 ,953 ,821 ,929 ,655 ,36 ,707 ,655 ,36 
S16,11 ,3 ,226 ,256 ,194 ,194 ,209 ,194 ,1009 ,15 ,256 ,157 ,154 ,11 ,11 ,107 ,227 ,194 
S17,16 ,20 ,16 ,27 ,346 ,295 ,25 ,295 ,30 ,260 ,478 ,17 ,23 ,295 ,344 ,15 ,16 ,343 
S18,837 ,47 ,40 ,48 ,40 ,718 ,870 ,719 ,0 ,645 ,49 ,42 ,861 ,40 ,718 ,760 ,719 ,717 